optimizer,runs,mean_macro_f1,best_macro_f1,best_macro_f1_config,mean_runtime_seconds,fastest_runtime_seconds,mean_loss_roughness,mean_epoch_to_90pct_loss_reduction,best_practical_score,best_practical_config
Mini-batch GD,18,0.6991686520294081,0.7770268245303187,"Mini-batch GD, lr=1, batch=8, L2=0.0001, seed=42",0.9484890278868584,0.363972624996677,0.0032433715467838223,38.388888888888886,0.8761084231587212,"Mini-batch GD, lr=2, batch=64, L2=0.0001, seed=42"
sklearn LogisticRegression,1,0.7317516468512559,0.7317516468512559,"sklearn LogisticRegression, L2=0.0001, seed=42",0.0325677499931771,0.0325677499931771,,,0.8485089856929865,"sklearn LogisticRegression, L2=0.0001, seed=42"
SGD,13,0.7138124064326509,0.8148614087233013,"SGD, lr=0.05, L2=1e-05, seed=42",12.278445496689528,12.136727332996088,0.004140354386708462,26.333333333333332,0.7370471961016438,"SGD, lr=0.05, L2=1e-05, seed=42"
Batch GD,8,0.48858574619034845,0.5839274737695306,"Batch GD, lr=12, L2=0.0001, seed=42",0.07842204687040064,0.0768633749976288,0.011334365884310901,40.875,0.46984110757716646,"Batch GD, lr=12, L2=0.0001, seed=42"
