optimizer,number_of_seeds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,lower_ci_macro_f1,upper_ci_macro_f1,mean_weighted_f1,std_weighted_f1,mean_runtime,std_runtime,mean_final_loss,std_final_loss
SGD,5,0.8866935483870968,0.004396620224138689,0.7659312823889743,0.017975266791129183,0.7501752663531799,0.7816872984247688,0.87235174128366,0.007887043568142613,15.747040541999741,0.08473885922230187,0.2402725145600987,0.000499269729224121
Mini-batch GD,5,0.880510752688172,0.0012021870846773074,0.7450310441027795,0.004643169748877925,0.7409611263724714,0.7491009618330877,0.862690271066832,0.0020615227083210573,0.7269228500008467,0.010151302481897304,0.2502243633690022,0.00029577498868525634
