scenario,optimizer,learning_rate,batch_size,l2,seed,epochs,final_training_loss,initial_training_loss,loss_reduction,loss_roughness,convergence_epoch,best_loss_epoch,epoch_to_90pct_loss_reduction,runtime_seconds,test_accuracy,test_macro_f1,test_weighted_f1,positive_prediction_rate
stability_across_seeds,Mini-batch GD,1.0,64.0,0.0001,99,80,0.25188710760686545,0.4103280417582954,0.15844093415142996,0.003358473792247723,,77,38.0,1.0128927000332624,0.8790322580645161,0.7514910167862325,0.863957026919053,0.9005376344086021
stability_across_seeds,Mini-batch GD,1.0,64.0,0.0001,123,80,0.2512865151808499,0.41000471323893856,0.15871819805808868,0.0033074875613558555,,80,39.0,0.9773290001321584,0.8897849462365591,0.7876357560568087,0.880678623081,0.8776881720430108
l2_interaction,Batch GD,8.0,,1e-05,42,80,0.3361866686694357,0.5396693645968589,0.20348269592742319,0.010199276077377794,,80,53.0,0.11496090004220605,0.823252688172043,0.489729898883217,0.7503378971637628,0.9926075268817204
l2_interaction,SGD,0.05,,1e-05,42,80,0.14070000726697376,0.3713030600959401,0.23060305282896634,0.004915336020896278,,79,44.0,15.925961299799383,0.9092741935483871,0.8410154497083147,0.9068238796669486,0.8393817204301075
l2_interaction,Mini-batch GD,1.0,64.0,1e-05,42,80,0.19226470011699004,0.4096006943562468,0.21733599423925676,0.0033595847310752274,,80,55.0,0.9294044999405742,0.8958333333333334,0.807815214628842,0.8899771129230047,0.8608870967741935
l2_interaction,Batch GD,8.0,,0.0001,42,80,0.3407784236165196,0.5397153485794433,0.19893692496292364,0.01020541890068246,,80,51.0,0.11561209987848997,0.8225806451612904,0.4861770922713099,0.7488177398764442,0.9932795698924731
l2_interaction,SGD,0.05,,0.0001,42,80,0.24835225169401007,0.3730673026694482,0.12471505097543814,0.004502695944147716,,75,17.0,15.956577199976891,0.8985215053763441,0.8152454111070819,0.893603297606688,0.855510752688172
l2_interaction,Mini-batch GD,1.0,64.0,0.0001,42,80,0.25161817970509304,0.41002585466908603,0.158407674963993,0.003347985137138885,,79,39.0,0.8618172998540103,0.8931451612903226,0.7973715651135006,0.8853746740149793,0.8716397849462365
l2_interaction,Batch GD,8.0,,0.001,42,80,0.3735601480413672,0.5401751884052869,0.16661504036391966,0.010240982857514326,,80,33.0,0.10357009992003441,0.8158602150537635,0.44929681717246484,0.7331267957625971,1.0
l2_interaction,SGD,0.05,,0.001,42,80,0.3678419625335461,0.3879376076930573,0.020095645159511177,0.0027561413059534324,,18,6.0,14.961727800080553,0.8360215053763441,0.5606901725431358,0.7803942921214175,0.9758064516129032
l2_interaction,Mini-batch GD,1.0,64.0,0.001,42,80,0.36631837104609416,0.4140356373816041,0.047717266335509934,0.0023226193143242864,,42,9.0,0.9062745999544859,0.8299731182795699,0.5268549624652648,0.7660917940903251,0.9845430107526881
l2_interaction,Batch GD,8.0,,0.01,42,80,0.43669826782068477,0.5447735866637238,0.108075318843039,0.010221449211523388,21.0,80,3.0,0.11031140014529228,0.8158602150537635,0.44929681717246484,0.7331267957625971,1.0
l2_interaction,SGD,0.05,,0.01,42,80,0.43796512970023593,0.4378148329723105,-0.00015029672792543636,0.003088277697229942,,25,,15.136130600003526,0.8158602150537635,0.44929681717246484,0.7331267957625971,1.0
l2_interaction,Mini-batch GD,1.0,64.0,0.01,42,80,0.4367769782190835,0.4384431859091789,0.0016662076900954004,0.0010476118204410113,,37,2.0,0.8670365000143647,0.8158602150537635,0.44929681717246484,0.7331267957625971,1.0
