optimizer,epochs,learning_rate,batch_size,l2,final_training_loss,runtime_seconds,test_accuracy,test_macro_f1,test_weighted_f1
Batch GD,300,8.0,,0.0001,0.28136669478973353,0.35011140001006424,0.8655913978494624,0.7087150575522668,0.8437551307018675
SGD,300,0.05,,0.0001,0.24610943544570102,43.07263680000324,0.8924731182795699,0.7928153717627402,0.8835889005668293
Mini-batch GD,300,1.0,64.0,0.0001,0.24605914681530133,2.6060864999890327,0.8924731182795699,0.7928153717627402,0.8835889005668293
