optimizer,epoch,training_loss
Batch GD,1,0.5397251449515764
Batch GD,2,0.44781938964196766
Batch GD,3,0.43794634294480855
Batch GD,4,0.4328315974284973
Batch GD,5,0.42849923083141267
Batch GD,6,0.4247050474325505
Batch GD,7,0.42132283216634575
Batch GD,8,0.41826573328345756
Batch GD,9,0.41547046263856485
Batch GD,10,0.4128898774282068
Batch GD,11,0.4104881629693214
Batch GD,12,0.40823763078916553
Batch GD,13,0.40611652949562693
Batch GD,14,0.40410752042498027
Batch GD,15,0.4021965964347452
Batch GD,16,0.40037230217900655
Batch GD,17,0.3986251630619984
Batch GD,18,0.39694726102303396
Batch GD,19,0.39533191521013317
Batch GD,20,0.39377343864241166
Batch GD,21,0.39226695064920064
Batch GD,22,0.390808230752493
Batch GD,23,0.3893936036955527
Batch GD,24,0.38801984812996476
Batch GD,25,0.3866841234541501
Batch GD,26,0.3853839107097595
Batch GD,27,0.3841169644623552
Batch GD,28,0.382881273336762
Batch GD,29,0.38167502742555914
Batch GD,30,0.38049659119682505
Batch GD,31,0.3793444808331267
Batch GD,32,0.3782173451652353
Batch GD,33,0.37711394954064476
Batch GD,34,0.3760331621027177
Batch GD,35,0.37497394206139417
Batch GD,36,0.3739353296183521
Batch GD,37,0.37291643727381824
Batch GD,38,0.3719164422930292
Batch GD,39,0.3709345801506916
Batch GD,40,0.36997013880404483
Batch GD,41,0.36902245367104003
Batch GD,42,0.3680909032110767
Batch GD,43,0.36717490502273925
Batch GD,44,0.36627391238683144
Batch GD,45,0.3653874111943768
Batch GD,46,0.36451491720860685
Batch GD,47,0.36365597361769514
Batch GD,48,0.36281014884142515
Batch GD,49,0.36197703456033103
Batch GD,50,0.36115624394034146
Batch GD,51,0.3603474100297168
Batch GD,52,0.3595501843082528
Batch GD,53,0.35876423537140817
Batch GD,54,0.35798924773429674
Batch GD,55,0.3572249207424306
Batch GD,56,0.3564709675777588
Batch GD,57,0.35572711434997006
Batch GD,58,0.35499309926425804
Batch GD,59,0.3542686718577922
Batch GD,60,0.3535535922980597
Batch GD,61,0.35284763073702874
Batch GD,62,0.35215056671577233
Batch GD,63,0.35146218861478995
Batch GD,64,0.3507822931457898
Batch GD,65,0.35011068488114705
Batch GD,66,0.3494471758176624
Batch GD,67,0.3487915849715882
Batch GD,68,0.34814373800221426
Batch GD,69,0.3475034668615678
Batch GD,70,0.3468706094680302
Batch GD,71,0.34624500940189396
Batch GD,72,0.34562651562106333
Batch GD,73,0.34501498219528454
Batch GD,74,0.344410268057436
Batch GD,75,0.34381223677054645
Batch GD,76,0.3432207563093325
Batch GD,77,0.34263569885515255
Batch GD,78,0.34205694060337516
Batch GD,79,0.3414843615822442
Batch GD,80,0.3409178454824062
Batch GD,81,0.34035727949633154
Batch GD,82,0.3398025541669319
Batch GD,83,0.3392535632447277
Batch GD,84,0.338710203552978
Batch GD,85,0.3381723748602266
Batch GD,86,0.33763997975977034
Batch GD,87,0.3371129235555849
Batch GD,88,0.3365911141542877
Batch GD,89,0.336074461962743
Batch GD,90,0.3355628797909517
Batch GD,91,0.3350562827598878
Batch GD,92,0.3345545882139758
Batch GD,93,0.3340577156379175
Batch GD,94,0.3335655865776072
Batch GD,95,0.33307812456488445
Batch GD,96,0.3325952550458986
Batch GD,97,0.33211690531286875
Batch GD,98,0.33164300443904243
Batch GD,99,0.33117348321666984
Batch GD,100,0.33070827409781645
Batch GD,101,0.33024731113785966
Batch GD,102,0.3297905299415155
Batch GD,103,0.3293378676112559
Batch GD,104,0.32888926269798846
Batch GD,105,0.3284446551538708
Batch GD,106,0.32800398628715177
Batch GD,107,0.327567198718927
Batch GD,108,0.32713423634170935
Batch GD,109,0.32670504427972263
Batch GD,110,0.3262795688508249
Batch GD,111,0.325857757529984
Batch GD,112,0.3254395589142229
Batch GD,113,0.3250249226889626
Batch GD,114,0.3246137995956944
Batch GD,115,0.32420614140091575
Batch GD,116,0.32380190086626737
Batch GD,117,0.3234010317198156
Batch GD,118,0.323003488628425
Batch GD,119,0.3226092271711689
Batch GD,120,0.32221820381372995
Batch GD,121,0.32183037588374597
Batch GD,122,0.32144570154705426
Batch GD,123,0.3210641397847999
Batch GD,124,0.32068565037136043
Batch GD,125,0.320310193853059
Batch GD,126,0.31993773152762583
Batch GD,127,0.3195682254243755
Batch GD,128,0.31920163828507253
Batch GD,129,0.3188379335454509
Batch GD,130,0.3184770753173633
Batch GD,131,0.31811902837153105
Batch GD,132,0.3177637581208704
Batch GD,133,0.31741123060437204
Batch GD,134,0.31706141247150876
Batch GD,135,0.3167142709671521
Batch GD,136,0.31636977391697546
Batch GD,137,0.31602788971332546
Batch GD,138,0.31568858730154115
Batch GD,139,0.3153518361667056
Batch GD,140,0.31501760632081094
Batch GD,141,0.31468586829032114
Batch GD,142,0.3143565931041184
Batch GD,143,0.3140297522818163
Batch GD,144,0.3137053178224281
Batch GD,145,0.31338326219337453
Batch GD,146,0.31306355831982013
Batch GD,147,0.3127461795743244
Batch GD,148,0.31243109976679817
Batch GD,149,0.3121182931347514
Batch GD,150,0.31180773433382425
Batch GD,151,0.3114993984285894
Batch GD,152,0.3111932608836169
Batch GD,153,0.31088929755479267
Batch GD,154,0.31058748468087904
Batch GD,155,0.3102877988753135
Batch GD,156,0.30999021711823205
Batch GD,157,0.3096947167487136
Batch GD,158,0.30940127545723656
Batch GD,159,0.30910987127833855
Batch GD,160,0.30882048258347466
Batch GD,161,0.30853308807406793
Batch GD,162,0.30824766677474286
Batch GD,163,0.30796419802673847
Batch GD,164,0.3076826614814945
Batch GD,165,0.30740303709440364
Batch GD,166,0.3071253051187269
Batch GD,167,0.3068494460996637
Batch GD,168,0.30657544086857574
Batch GD,169,0.30630327053735557
Batch GD,170,0.3060329164929384
Batch GD,171,0.3057643603919513
Batch GD,172,0.30549758415549483
Batch GD,173,0.3052325699640558
Batch GD,174,0.30496930025254326
Batch GD,175,0.3047077577054475
Batch GD,176,0.3044479252521153
Batch GD,177,0.30418978606214064
Batch GD,178,0.3039333235408658
Batch GD,179,0.30367852132498935
Batch GD,180,0.30342536327827896
Batch GD,181,0.30317383348738575
Batch GD,182,0.30292391625775617
Batch GD,183,0.3026755961096393
Batch GD,184,0.30242885777418765
Batch GD,185,0.302183686189647
Batch GD,186,0.3019400664976342
Batch GD,187,0.3016979840395
Batch GD,188,0.3014574243527736
Batch GD,189,0.3012183731676886
Batch GD,190,0.3009808164037863
Batch GD,191,0.30074474016659464
Batch GD,192,0.3005101307443813
Batch GD,193,0.3002769746049789
Batch GD,194,0.3000452583926785
Batch GD,195,0.2998149689251932
Batch GD,196,0.29958609319068547
Batch GD,197,0.29935861834486044
Batch GD,198,0.29913253170812126
Batch GD,199,0.29890782076278544
Batch GD,200,0.29868447315035995
Batch GD,201,0.2984624766688751
Batch GD,202,0.29824181927027366
Batch GD,203,0.2980224890578559
Batch GD,204,0.2978044742837763
Batch GD,205,0.2975877633465953
Batch GD,206,0.29737234478887736
Batch GD,207,0.2971582072948431
Batch GD,208,0.29694533968806613
Batch GD,209,0.2967337309292186
Batch GD,210,0.2965233701138617
Batch GD,211,0.29631424647028215
Batch GD,212,0.2961063493573698
Batch GD,213,0.2958996682625401
Batch GD,214,0.29569419279969716
Batch GD,215,0.29548991270723646
Batch GD,216,0.2952868178460882
Batch GD,217,0.2950848981977986
Batch GD,218,0.29488414386264855
Batch GD,219,0.29468454505780906
Batch GD,220,0.2944860921155335
Batch GD,221,0.2942887754813829
Batch GD,222,0.2940925857124865
Batch GD,223,0.2938975134758368
Batch GD,224,0.2937035495466142
Batch GD,225,0.29351068480654624
Batch GD,226,0.29331891024229656
Batch GD,227,0.2931282169438843
Batch GD,228,0.2929385961031338
Batch GD,229,0.2927500390121524
Batch GD,230,0.2925625370618367
Batch GD,231,0.29237608174040763
Batch GD,232,0.292190664631971
Batch GD,233,0.29200627741510604
Batch GD,234,0.29182291186147746
Batch GD,235,0.2916405598344766
Batch GD,236,0.29145921328788305
Batch GD,237,0.2912788642645537
Batch GD,238,0.2910995048951336
Batch GD,239,0.29092112739679127
Batch GD,240,0.2907437240719749
Batch GD,241,0.2905672873071932
Batch GD,242,0.2903918095718152
Batch GD,243,0.2902172834168935
Batch GD,244,0.2900437014740067
Batch GD,245,0.28987105645412337
Batch GD,246,0.2896993411464853
Batch GD,247,0.2895285484175093
Batch GD,248,0.2893586712097107
Batch GD,249,0.28918970254064225
Batch GD,250,0.2890216355018536
Batch GD,251,0.28885446325786834
Batch GD,252,0.288688179045177
Batch GD,253,0.28852277617124994
Batch GD,254,0.28835824801356347
