optimizer,epochs,learning_rate,batch_size,l2,final_training_loss,runtime_seconds,test_accuracy,test_macro_f1,test_weighted_f1
Batch GD,300,8.0,,0.0001,0.2816340138048275,0.49948145799862687,0.8669354838709677,0.7103885942113892,0.8448987187817766
SGD,300,0.05,,0.0001,0.24653351963085413,62.25142912501178,0.8911290322580645,0.7894685359147868,0.8818871689541302
Mini-batch GD,300,1.0,64.0,0.0001,0.24646807591745284,3.2788254159968346,0.8911290322580645,0.7902255639097744,0.8821337618239146
